INDEX:10194:<int>,OrderID:10194:<string>,Order:10194:<DateTimeISO>,ShipDateTimeISO:10194:<DateTimeISO>,ShipMode:10194:<string>,CustomerID:10194:<string>,CustomerName:10194:<string>,Segment:10194:<string>,Country/Region:10194:<string>,City:10194:<string>,State/Province:10194:<string>,PostalCode:10194:<int>,Region:10194:<string>,ProductID:10194:<string>,Category:10194:<string>,Sub-Category:10194:<string>,ProductName:10194:<string>,Sales:10194:<string>,Quantity:10194:<string>,Discount:10194:<string>,Profit:10194:<string>
1,US-2021-103800,03-01-2021,07-01-2021,StandardClass,DP-13000,DarrenPowers,Consumer,UnitedStates,Houston,Texas,77095,Central,OFF-PA-10000174,OfficeSupplies,Paper,"MessageBook,Wirebound,Four51/2""X4""Forms/Pg.,200Dupl.Sets/Book",16.448,2,0.2,5.5512
2,US-2021-112326,04-01-2021,08-01-2021,StandardClass,PO-19195,PhillinaOber,HomeOffice,UnitedStates,Naperville,Illinois,60540,Central,OFF-BI-10004094,OfficeSupplies,Binders,GBCStandardPlasticBindingSystemsCombs,3.54,2,0.8,-5.487
3,US-2021-112326,04-01-2021,08-01-2021,StandardClass,PO-19195,PhillinaOber,HomeOffice,UnitedStates,Naperville,Illinois,60540,Central,OFF-LA-10003223,OfficeSupplies,Labels,Avery508,11.784,3,0.2,4.2717
4,US-2021-112326,04-01-2021,08-01-2021,StandardClass,PO-19195,PhillinaOber,HomeOffice,UnitedStates,Naperville,Illinois,60540,Central,OFF-ST-10002743,OfficeSupplies,Storage,SAFCOBoltlessSteelShelving,272.736,3,0.2,-64.7748
5,US-2021-141817,05-01-2021,12-01-2021,StandardClass,MB-18085,MickBrown,Consumer,UnitedStates,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,OfficeSupplies,Art,"AveryHi-LiterEverBoldPenStyleFluorescentHighlighters,4/Pack",19.536,3,0.2,4.884
6,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,GlobalDeluxeHigh-BackManager'sChair,2573.82,9,0,746.4078
7,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,OFF-AR-10001662,OfficeSupplies,Art,RogersHandheldBarrelPencilSharpener,5.48,2,0,1.4796
8,US-2021-106054,06-01-2021,07-01-2021,FirstClass,JO-15145,JackO'Briant,Corporate,UnitedStates,Athens,Georgia,30605,South,OFF-AR-10002399,OfficeSupplies,Art,"DixonPrangWatercolorPencils,10-ColorSetwithBrush",12.78,3,0,5.2398
9,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,OFF-BI-10004632,OfficeSupplies,Binders,IbicoHi-TechManualBindingSystem,609.98,2,0,274.491
10,US-2021-167199,06-01-2021,10-01-2021,StandardClass,ME-17320,MariaEtezadi,HomeOffice,UnitedStates,Henderson,Kentucky,42420,South,OFF-FA-10001883,OfficeSupplies,Fasteners,"AllianceSuper-SizeBands,AssortedSizes",31.12,4,0,0.3112
